trip_id,line,departure_stop,arrival_stop,planned_departure,actual_arrival,passenger_count,delay_minutes
1,Ligne C,Stop 1,Stop 2,2025-04-01 06:00:00,2025-04-01 06:30:00,45,0
2,Ligne A,Stop 2,Stop 1,2025-04-01 06:10:00,2025-04-01 06:40:00,79,0
3,Ligne C,Stop 4,Stop 1,2025-04-01 06:20:00,2025-04-01 06:50:00,13,0
4,Ligne A,Stop 2,Stop 1,2025-04-01 06:30:00,2025-04-01 06:57:00,35,-3
5,Ligne C,Stop 5,Stop 4,2025-04-01 06:40:00,2025-04-01 07:15:00,38,5
6,Ligne C,Stop 3,Stop 1,2025-04-01 06:50:00,2025-04-01 07:17:00,30,-3
7,Ligne B,Stop 3,Stop 4,2025-04-01 07:00:00,2025-04-01 07:30:00,29,0
8,Ligne B,Stop 1,Stop 2,2025-04-01 07:10:00,2025-04-01 07:40:00,58,0
9,Ligne B,Stop 3,Stop 4,2025-04-01 07:20:00,2025-04-01 07:47:00,15,-3
10,Ligne B,Stop 5,Stop 1,2025-04-01 07:30:00,2025-04-01 08:00:00,58,0
11,Ligne C,Stop 3,Stop 4,2025-04-01 07:40:00,2025-04-01 08:07:00,34,-3
12,Ligne A,Stop 1,Stop 3,2025-04-01 07:50:00,2025-04-01 08:20:00,47,0
13,Ligne A,Stop 1,Stop 5,2025-04-01 08:00:00,2025-04-01 08:35:00,45,5
14,Ligne C,Stop 3,Stop 2,2025-04-01 08:10:00,2025-04-01 08:40:00,57,0
15,Ligne A,Stop 3,Stop 1,2025-04-01 08:20:00,2025-04-01 09:00:00,31,10
16,Ligne C,Stop 2,Stop 3,2025-04-01 08:30:00,2025-04-01 09:05:00,69,5
17,Ligne B,Stop 5,Stop 2,2025-04-01 08:40:00,2025-04-01 09:10:00,51,0
18,Ligne A,Stop 1,Stop 4,2025-04-01 08:50:00,2025-04-01 09:20:00,61,0
19,Ligne A,Stop 2,Stop 4,2025-04-01 09:00:00,2025-04-01 09:27:00,37,-3
20,Ligne B,Stop 4,Stop 5,2025-04-01 09:10:00,2025-04-01 09:40:00,28,0
